diameter_um,Drftn_ln_mean,Drftn_ln_sd,Sink_ln_mean,Sink_ln_sd,Shower_ln_mean,Shower_ln_sd,dep_min,dep_max,fraction
1,-2.0,0.91,-2.4,0.28,3.7,0.3,0.23,0.25,0.176
2,-2.2,0.94,-2.6,0.3,3.7,0.3,0.4,0.53,0.166
3,-4.3,0.86,-4.1,0.26,3.7,0.17,0.36,0.62,0.143
4,-4.3,0.70,-4.2,0.25,5.5,0.35,0.29,0.61,0.0719
5,-5.0,0.77,-4.9,0.18,5.5,0.35,0.19,0.52,0.0396
6,-5.4,0.69,-5.2,0.27,5.5,0.35,0.1,0.4,0.0323
7,-5.8,0.92,-5.5,0.27,6.2,0.31,0.06,0.29,0.0345
8,-6.9,1.1,-6.1,0.22,6.2,0.31,0.03,0.19,0.0493
9,-6.9,1.1,-6.1,0.22,6.2,0.31,0.01,0.12,0.0435
10,-6.9,1.1,-6.1,0.22,6.2,0.31,0.01,0.06,0.0389
