diameter_um,Drftn_mean,Drftn_sd,Sink_mean,Sink_sd,Shower_ln_mean,Shower_ln_sd,dep_min,dep_max,fraction
1,0.214,0.242,0.0903,0.0254,,,0.23,0.25,0.176
2,0.179,0.213,0.0775,0.0239,,,0.4,0.53,0.166
3,0.0193,0.0202,0.0172,0.00454,,,0.36,0.62,0.143
4,0.0174,0.0139,0.0152,0.00388,,,0.29,0.61,0.0719
5,0.00909,0.0082,0.0076,0.00137,,,0.19,0.52,0.0396
6,0.00551,0.00433,0.00552,0.00152,,,0.1,0.4,0.0323
7,0.00458,0.00527,0.00431,0.00118,,,0.06,0.29,0.0345
8,0.00184,0.00275,0.00225,0.000491,,,0.03,0.19,0.0493
9,0.00184,0.00275,0.00225,0.000491,,,0.01,0.12,0.0435
10,0.00184,0.00275,0.00225,0.000491,,,0.01,0.06,0.0389
